序号,用户地址,交易,ETH数量,LRC数量,价格,渠道
135,0xd9e4104911c755d6eeee394a109443f84f2604ed,0x12fa17170b58010cc7f73239263b2677c9dbde38e9eff582571c9acfca0c909a,0.70,4200.0,6000.0,
136,0xe7f3c899806af6327d550bbc3c68f7e82bf623c7,0x13f5909c8376dfc6321d4f13eb83c5906ed23ddab8e8a620388f30801f9076d4,1.60,9600.0,6000.0,
137,0x31794a4149d0491978e3e4586c583ed2385b82fd,0x16a3010e1bb466ec09cc157e11ab6fc43057dafbbebeea90224a090c07851de8,2.49,14940.0,6000.0,
138,0xb4f563e6f78c827ac6c8fa25218a7b6e16d949da,0x16d2f8bc9b52776063f82f8d49147971a0827fb733327950ded228a83d1b2fc0,4.00,24000.0,6000.0,
139,0xee254384f42b3c70d0367bcbcb906eed5c443aeb,0x1a166fe033e21edccfc3d73c6d5b9d033834693a020c5afe90761452a77f5323,5.08,30503.5,6000.0,
140,0x5afa47721c377fc2d1b7a99e5dc9b73c9f8995f1,0x1a9a19ddfb3f876f7d99167f6278da853d3a1f746e4589207cfd36bd5d4950a6,1.70,10200.0,6000.0,
141,0xe7c2aa3e3f40541d65e412cd444ac3446b5c06f2,0x1e74742cb1ab509dec3708c1a0f1fd1f67fca863c0cc8bdf81c22a525b8ca17c,10.00,60000.0,6000.0,
142,0x9f096daf0b2b6242d29e0d88e26b0e9ec83dec35,0x23d13ec01b3944b7b632ac7df376e06de91ce4fd1e4f422dad14e257ba6e5095,10.00,60000.0,6000.0,
143,0x50d695f22c32fd8144f2f0cec3cbbaab6636b880,0x25040ad2eec1e091335bc76f7bf7a64ff9327ee80fb20300df444b9da5c58927,7.20,43200.0,6000.0,
144,0x353b9f7f2e2de99840d34b5d74d903ae07cc1bc5,0x25b872b9c0d9771156b37b1e215e9e31ffe90311e183455104cf93c0fcbadd6e,0.06,360.0,6000.0,
145,0x8b6f15ab8a1cc3be87ffd61f4123745e989a65d7,0x295e7c503ebfcbb69326d09c2ad34fa68aebc2b5b396e85f199c1b5f43930a30,8.00,48000.0,6000.0,
146,0xee238163d3b595a294e40017320b56643fe99b49,0x2a829a94bbe9cbab248c7ae04c84aec9718f18aec685080328f6672497e05a0e,5.00,30000.0,6000.0,
147,0x13e1a82bde1901cb3d71407bfb3893c5343e8b04,0x2ba731cd6c4d6310e7dff85dde55d98157ec958198fc0f098e1d08994fb53164,3.00,18000.0,6000.0,
148,0x1b26ebc37851dc6eb054e4ae37a0e2e455c6a725,0x2da61ff9110174b458a8d24cf76f5ca37310d0c72c09826942b5298d3d51c83e,1.60,9600.0,6000.0,
149,0x38b2197106123387a0d4de368431a8bacdda30e2,0x2e924cc2c3589cda4038443a025ac3eb71e628f2726d96d1500db2aef1609228,50.00,300000.0,6000.0,
150,0xab0035e779c8f28b9509f1618675daccf516487c,0x31d36de928a1af3220c96ff042aa719834153bb24d0e29dcc82a84b89f1e5649,0.21,1260.0,6000.0,
151,0xb465fb64333fc33a1c1c45e97eeba15be0d571be,0x336ef21c58926c4075d5a0f7aa3a272611f512569319240a281da592ca5b7672,0.07,420.0,6000.0,
